CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE328618,08/06/2021 05:40:00 PM,001XX N MORGAN ST,0560,ASSAULT,SIMPLE,RESTAURANT,N,N,1224,27,08A,1169744,1901475,41.885150434,-87.652125613,"(41.885150434, -87.652125613)"
JE328581,08/06/2021 05:40:00 PM,016XX W MONROE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1224,28,14,1165715,1899627,41.880166187,-87.666973419,"(41.880166187, -87.666973419)"
JE328640,08/06/2021 05:45:00 PM,035XX W EVERGREEN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,1422,26,08B,1152619,1908756,41.905486028,-87.714818959,"(41.905486028, -87.714818959)"
JE328658,08/06/2021 05:50:00 PM,058XX S EMERALD AVE,0560,ASSAULT,SIMPLE,STREET,N,N,711,20,08A,1172304,1866009,41.787772484,-87.643770453,"(41.787772484, -87.643770453)"
JE328751,08/06/2021 06:00:00 PM,008XX W 59TH ST,0460,BATTERY,SIMPLE,SIDEWALK,N,N,712,16,08B,1171833,1865730,41.78701723,-87.645505595,"(41.78701723, -87.645505595)"
JE329784,08/06/2021 06:00:00 PM,077XX S COLFAX AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,421,7,14,1194866,1854078,41.754506665,-87.561438803,"(41.754506665, -87.561438803)"
JE333088,08/06/2021 06:00:00 PM,113XX S DR MARTIN LUTHER KING JR DR,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,531,9,05,1180933,1829813,41.688252176,-87.613242154,"(41.688252176, -87.613242154)"
JE334590,08/06/2021 06:00:00 PM,004XX W OAKDALE AVE,0810,THEFT,OVER $500,STREET,N,N,1934,44,06,,,,,
JE329188,08/06/2021 06:00:00 PM,032XX N PITTSBURGH AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,1631,38,11,1120524,1920512,41.938320658,-87.83246492,"(41.938320658, -87.83246492)"
JE328650,08/06/2021 06:00:00 PM,035XX N CLARK ST,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,Y,N,1924,44,14,1168463,1923924,41.946779572,-87.65617875,"(41.946779572, -87.65617875)"
JE329387,08/06/2021 06:00:00 PM,035XX N RETA AVE,0810,THEFT,OVER $500,APARTMENT,N,N,1924,44,06,1169967,1923622,41.945918134,-87.650659366,"(41.945918134, -87.650659366)"
JE328648,08/06/2021 06:00:00 PM,055XX S SHORE DR,0560,ASSAULT,SIMPLE,STREET,N,N,235,5,08A,1189552,1868725,41.794828373,-87.580442725,"(41.794828373, -87.580442725)"
JE329100,08/06/2021 06:00:00 PM,046XX S WOOD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,924,15,14,1165127,1873950,41.809718487,-87.669860855,"(41.809718487, -87.669860855)"
JE329653,08/06/2021 06:00:00 PM,036XX N HARLEM AVE,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,N,N,1632,38,06,1127428,1923292,41.945835818,-87.807027883,"(41.945835818, -87.807027883)"
JE328772,08/06/2021 06:00:00 PM,052XX N LINCOLN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,N,Y,2011,40,08B,1158514,1934867,41.977017622,-87.692447486,"(41.977017622, -87.692447486)"
JE329363,08/06/2021 06:00:00 PM,043XX W CULLERTON ST,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,APARTMENT,N,Y,1012,24,20,1147824,1890068,41.854297534,-87.73291301,"(41.854297534, -87.73291301)"
JE328632,08/06/2021 06:10:00 PM,056XX W MADISON ST,0460,BATTERY,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1513,29,08B,1138946,1899461,41.880238942,-87.76527117,"(41.880238942, -87.76527117)"
JE328660,08/06/2021 06:10:00 PM,089XX S LOOMIS ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2222,21,08B,1168564,1845472,41.731497731,-87.658074565,"(41.731497731, -87.658074565)"
JE328659,08/06/2021 06:11:00 PM,036XX W GRAND AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,GAS STATION,N,N,1112,27,04B,1152073,1907615,41.902365801,-87.716854733,"(41.902365801, -87.716854733)"
JE328810,08/06/2021 06:11:00 PM,036XX W GRAND AVE,3800,INTERFERENCE WITH PUBLIC OFFICER,INTERFERENCE JUDICIAL PROCESS,GAS STATION,N,N,1112,27,26,1152073,1907615,41.902365801,-87.716854733,"(41.902365801, -87.716854733)"
JE328817,08/06/2021 06:15:00 PM,025XX W 16TH ST,0820,THEFT,$500 AND UNDER,COMMERCIAL / BUSINESS OFFICE,N,N,1023,28,06,1159599,1891980,41.859310188,-87.689641223,"(41.859310188, -87.689641223)"
JE329646,08/06/2021 06:30:00 PM,014XX W CHASE AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,2423,49,06,1165399,1948361,42.01390135,-87.666742046,"(42.01390135, -87.666742046)"
JE329098,08/06/2021 06:40:00 PM,055XX S PRAIRIE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,231,20,11,1178989,1868154,41.793508827,-87.619194139,"(41.793508827, -87.619194139)"
JE328820,08/06/2021 06:40:00 PM,040XX W ROOSEVELT RD,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,N,N,1132,24,04B,1149487,1894399,41.866150251,-87.726696753,"(41.866150251, -87.726696753)"
JE328727,08/06/2021 06:41:00 PM,070XX S NORMAL BLVD,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,N,732,6,26,1174166,1858208,41.766324482,-87.63717484,"(41.766324482, -87.63717484)"
JE328836,08/06/2021 06:45:00 PM,011XX S DELANO CT E,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,123,25,06,1175167,1895347,41.868214969,-87.632395394,"(41.868214969, -87.632395394)"
JE328680,08/06/2021 06:50:00 PM,016XX S CENTRAL PARK AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,Y,1021,24,14,1152642,1891572,41.858330876,-87.715189131,"(41.858330876, -87.715189131)"
JE328688,08/06/2021 06:54:00 PM,013XX W 51ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,933,20,08B,1168352,1870947,41.801408993,-87.658118593,"(41.801408993, -87.658118593)"
JE328732,08/06/2021 06:55:00 PM,073XX S VINCENNES AVE,1755,OFFENSE INVOLVING CHILDREN,CHILD ABANDONMENT,APARTMENT,N,Y,731,6,20,1176132,1856283,41.760998171,-87.630026457,"(41.760998171, -87.630026457)"
JE328689,08/06/2021 06:57:00 PM,056XX S ST LOUIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,822,14,08B,1154009,1866904,41.79061156,-87.710827405,"(41.79061156, -87.710827405)"
JE332918,08/06/2021 07:00:00 PM,013XX W 31ST PL,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,913,11,14,1167947,1883902,41.836967591,-87.659231142,"(41.836967591, -87.659231142)"
JE329234,08/06/2021 07:00:00 PM,035XX W CARROLL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,1123,28,14,1152686,1902169,41.887409331,-87.714747298,"(41.887409331, -87.714747298)"
JE329074,08/06/2021 07:00:00 PM,018XX W 47TH ST,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,N,N,931,15,07,1165044,1873525,41.808553996,-87.670177315,"(41.808553996, -87.670177315)"
JE328694,08/06/2021 07:00:00 PM,031XX W 103RD ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,2211,19,06,1157026,1836163,41.706192826,-87.700593626,"(41.706192826, -87.700593626)"
JE328878,08/06/2021 07:00:00 PM,131XX S CARONDOLET AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,433,10,08B,1198433,1818536,41.656887591,-87.549552605,"(41.656887591, -87.549552605)"
JE328736,08/06/2021 07:00:00 PM,100XX W OHARE ST,1330,CRIMINAL TRESPASS,TO LAND,HOTEL / MOTEL,Y,N,1651,41,26,1100658,1934241,41.976290414,-87.905227221,"(41.976290414, -87.905227221)"
JE332754,08/06/2021 07:00:00 PM,012XX S HARDING AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1011,24,14,1150241,1894211,41.865619703,-87.723933633,"(41.865619703, -87.723933633)"
JE329576,08/06/2021 07:00:00 PM,056XX S WHIPPLE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,824,14,14,1157008,1867085,41.791048135,-87.69982583,"(41.791048135, -87.69982583)"
JE328703,08/06/2021 07:00:00 PM,019XX W MONTEREY AVE,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,POLICE FACILITY / VEHICLE PARKING LOT,N,N,2212,19,20,1165742,1830843,41.691413679,-87.668826246,"(41.691413679, -87.668826246)"
JE331015,08/06/2021 07:00:00 PM,008XX S STATE ST,0810,THEFT,OVER $500,OTHER (SPECIFY),N,N,123,4,06,1176487,1896508,41.871371147,-87.627514417,"(41.871371147, -87.627514417)"
JE328781,08/06/2021 07:00:00 PM,081XX S HALSTED ST,0560,ASSAULT,SIMPLE,APARTMENT,N,N,613,21,08A,1172383,1850986,41.746545819,-87.6439223,"(41.746545819, -87.6439223)"
JE328709,08/06/2021 07:00:00 PM,056XX W WEST END AVE,0560,ASSAULT,SIMPLE,STREET,N,Y,1512,29,08A,1138898,1900915,41.884229778,-87.765412092,"(41.884229778, -87.765412092)"
JE328849,08/06/2021 07:00:00 PM,103XX S AVENUE J,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,N,432,10,26,1202491,1836970,41.707369995,-87.5340784,"(41.707369995, -87.5340784)"
JE328714,08/06/2021 07:04:00 PM,055XX S ALBANY AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,N,Y,824,14,26,1156658,1867704,41.792753828,-87.70109252,"(41.792753828, -87.70109252)"
JE328691,08/06/2021 07:04:00 PM,050XX W ADAMS ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,PARK PROPERTY,Y,N,1533,28,15,1142522,1898854,41.878507556,-87.752155409,"(41.878507556, -87.752155409)"
JE328724,08/06/2021 07:17:00 PM,040XX W WASHINGTON BLVD,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,N,N,1114,28,04B,1149441,1900185,41.88202859,-87.726715506,"(41.88202859, -87.726715506)"
JE329060,08/06/2021 07:20:00 PM,015XX N ORLEANS ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1821,27,07,1173622,1910757,41.910535393,-87.637608653,"(41.910535393, -87.637608653)"
JE329352,08/06/2021 07:25:00 PM,037XX N OLEANDER AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,Y,1631,38,26,1125081,1923878,41.947483095,-87.815641826,"(41.947483095, -87.815641826)"
JE332675,08/06/2021 07:30:00 PM,004XX W 123RD ST,0610,BURGLARY,FORCIBLE ENTRY,PARK PROPERTY,N,N,523,34,05,1175765,1823350,41.670633685,-87.632354229,"(41.670633685, -87.632354229)"
JE328731,08/06/2021 07:30:00 PM,033XX S WOOD ST,0460,BATTERY,SIMPLE,SIDEWALK,N,N,912,12,08B,1164901,1882356,41.832790261,-87.670451921,"(41.832790261, -87.670451921)"
JE331326,08/06/2021 07:30:00 PM,044XX N RACINE AVE,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,N,N,1913,46,06,1167489,1929627,41.962449891,-87.659594068,"(41.962449891, -87.659594068)"
JE328711,08/06/2021 07:30:00 PM,118XX S VINCENNES AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2234,34,08B,1165186,1826301,41.678961386,-87.670989675,"(41.678961386, -87.670989675)"
JE328710,08/06/2021 07:30:00 PM,011XX N HARDING AVE,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,Y,N,1112,37,18,1149847,1907223,41.901333719,-87.725041451,"(41.901333719, -87.725041451)"
JE328747,08/06/2021 07:30:00 PM,028XX W CERMAK RD,0330,ROBBERY,AGGRAVATED,SIDEWALK,N,N,1023,12,03,1157516,1889256,41.851877836,-87.697361352,"(41.851877836, -87.697361352)"
JE328748,08/06/2021 07:32:00 PM,030XX W 58TH ST,4651,OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER NEW ADDRESS,APARTMENT,N,N,824,14,26,1157185,1866024,41.78813302,-87.6992055,"(41.78813302, -87.6992055)"
JE328733,08/06/2021 07:33:00 PM,025XX N CICERO AVE,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,N,N,2521,31,04B,1143964,1916595,41.927163908,-87.746414943,"(41.927163908, -87.746414943)"
JE328774,08/06/2021 07:37:00 PM,015XX E 76TH ST,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,Y,N,411,5,26,1187686,1854897,41.756927838,-87.587724859,"(41.756927838, -87.587724859)"
JE328798,08/06/2021 07:38:00 PM,001XX E 83RD ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,632,6,15,1178747,1850006,41.743714297,-87.620632953,"(41.743714297, -87.620632953)"
JE329082,08/06/2021 07:45:00 PM,044XX N RACINE AVE,0890,THEFT,FROM BUILDING,RESIDENCE,N,N,1913,46,06,1167489,1929623,41.962438915,-87.659594183,"(41.962438915, -87.659594183)"
JE328750,08/06/2021 07:50:00 PM,009XX E 131ST ST,0560,ASSAULT,SIMPLE,RESIDENCE,N,N,533,9,08A,1184711,1818558,41.65727939,-87.599762075,"(41.65727939, -87.599762075)"
JE328766,08/06/2021 07:54:00 PM,057XX S CICERO AVE,1478,CONCEALED CARRY LICENSE VIOLATION,PROHIBITED PLACES,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,Y,N,813,13,15,1145654,1866253,41.788987036,-87.74147999,"(41.788987036, -87.74147999)"
JE329134,08/06/2021 08:00:00 PM,035XX S RHODES AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,212,4,14,1180172,1881335,41.829651528,-87.614451899,"(41.829651528, -87.614451899)"
JE329688,08/06/2021 08:00:00 PM,035XX W DOUGLAS BLVD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1021,24,07,1152781,1893058,41.862405884,-87.714639603,"(41.862405884, -87.714639603)"
JE328799,08/06/2021 08:00:00 PM,103XX S WOODLAWN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,Y,512,9,08B,1186052,1836549,41.70661765,-87.594290476,"(41.70661765, -87.594290476)"
JE332958,08/06/2021 08:00:00 PM,021XX W 110TH PL,0460,BATTERY,SIMPLE,OTHER (SPECIFY),N,N,2212,19,08B,1164009,1831425,41.6930473,-87.675154692,"(41.6930473, -87.675154692)"
JE329346,08/06/2021 08:00:00 PM,068XX S LAFLIN ST,051B,ASSAULT,AGGRAVATED - OTHER FIREARM,RESIDENCE,N,N,725,16,04A,1167512,1859457,41.769897097,-87.661528424,"(41.769897097, -87.661528424)"
JE328827,08/06/2021 08:00:00 PM,067XX S DORCHESTER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,332,5,14,1186707,1860391,41.772027099,-87.591138947,"(41.772027099, -87.591138947)"
JE334860,08/06/2021 08:00:00 PM,054XX S MAY ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,934,20,14,1169577,1868735,41.795312524,-87.653690211,"(41.795312524, -87.653690211)"
JE332646,08/06/2021 08:05:00 PM,131XX S CORLISS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,533,9,14,1184010,1818371,41.656782576,-87.602332931,"(41.656782576, -87.602332931)"
JE329176,08/06/2021 08:05:00 PM,020XX E 72ND ST,0810,THEFT,OVER $500,STREET,N,N,333,5,06,,,,,
JE328763,08/06/2021 08:08:00 PM,113XX S HERMOSA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,2212,34,08B,1165581,1829231,41.686993479,-87.669461168,"(41.686993479, -87.669461168)"
JE328783,08/06/2021 08:08:00 PM,068XX S LAFLIN ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,725,16,15,1167515,1859342,41.769581458,-87.66152072,"(41.769581458, -87.66152072)"
JE330592,08/06/2021 08:09:00 PM,037XX N RICHMOND ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,1733,33,08A,1156053,1924706,41.949185407,-87.70177312,"(41.949185407, -87.70177312)"
JE328812,08/06/2021 08:14:00 PM,042XX W ARMITAGE AVE,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,SIDEWALK,Y,N,2534,35,24,1147826,1912951,41.917091011,-87.732317425,"(41.917091011, -87.732317425)"
JE328835,08/06/2021 08:15:00 PM,025XX S SPRINGFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1013,22,08B,1150782,1886833,41.845363021,-87.722140374,"(41.845363021, -87.722140374)"
JE328838,08/06/2021 08:15:00 PM,052XX S LAFLIN ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,934,20,04A,1167223,1870074,41.799037642,-87.662284046,"(41.799037642, -87.662284046)"
JE328796,08/06/2021 08:20:00 PM,037XX W 65TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,833,23,08B,1152497,1860912,41.774198503,-87.716529201,"(41.774198503, -87.716529201)"
JE328785,08/06/2021 08:28:00 PM,050XX W GLADYS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,Y,Y,1533,29,14,1142602,1897866,41.875794873,-87.751886238,"(41.875794873, -87.751886238)"
JE329146,08/06/2021 08:30:00 PM,109XX S EWING AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,432,10,14,1202198,1833130,41.696840168,-87.535281648,"(41.696840168, -87.535281648)"
JE328808,08/06/2021 08:30:00 PM,0000X W TERMINAL ST,1335,CRIMINAL TRESPASS,TO AIRPORT,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,N,N,1653,41,26,1101811,1934419,41.976762981,-87.900983721,"(41.976762981, -87.900983721)"
JE328779,08/06/2021 08:43:00 PM,073XX N GREENVIEW AVE,0810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,N,N,2423,49,06,1165020,1948934,42.015481761,-87.668120213,"(42.015481761, -87.668120213)"
JE332866,08/06/2021 08:45:00 PM,040XX W MAYPOLE AVE,0460,BATTERY,SIMPLE,STREET,N,N,1114,28,08B,1149233,1901142,41.884658736,-87.727454476,"(41.884658736, -87.727454476)"
JE328801,08/06/2021 08:45:00 PM,085XX S PARNELL AVE,0560,ASSAULT,SIMPLE,RESIDENCE,N,Y,622,21,08A,1174120,1848220,41.738917192,-87.637639473,"(41.738917192, -87.637639473)"
JE328797,08/06/2021 08:49:00 PM,025XX S MICHIGAN AVE,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,HOSPITAL BUILDING / GROUNDS,N,N,133,4,20,1177647,1887564,41.846801978,-87.623527134,"(41.846801978, -87.623527134)"
JE328778,08/06/2021 08:57:00 PM,040XX W ADAMS ST,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,STREET,N,N,1115,28,11,1149349,1898702,41.877960856,-87.727091798,"(41.877960856, -87.727091798)"
JE329196,08/06/2021 09:00:00 PM,009XX W 95TH ST,0820,THEFT,$500 AND UNDER,STREET,N,N,2223,21,06,1171509,1841818,41.721406726,-87.647392574,"(41.721406726, -87.647392574)"
JE328826,08/06/2021 09:00:00 PM,039XX W JACKSON BLVD,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,N,N,1122,28,03,1150250,1898399,41.877111878,-87.723791419,"(41.877111878, -87.723791419)"
JE329075,08/06/2021 09:00:00 PM,004XX E 88TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,632,9,07,1180734,1846735,41.734692903,-87.613452744,"(41.734692903, -87.613452744)"
JE331250,08/06/2021 09:00:00 PM,031XX N KILBOURN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,N,N,2521,31,07,1145829,1920539,41.937951376,-87.739461392,"(41.937951376, -87.739461392)"
JE329131,08/06/2021 09:00:00 PM,033XX N HALSTED ST,0810,THEFT,OVER $500,STREET,N,N,1924,44,06,1170327,1922601,41.943108594,-87.649366085,"(41.943108594, -87.649366085)"
JE329546,08/06/2021 09:00:00 PM,046XX N CENTRAL PARK AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,VEHICLE NON-COMMERCIAL,N,N,1723,35,04A,1151550,1930645,41.965572299,-87.718168824,"(41.965572299, -87.718168824)"
JE329787,08/06/2021 09:00:00 PM,013XX N LAKE SHORE DR,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1824,43,07,1176888,1909604,41.907298191,-87.625645676,"(41.907298191, -87.625645676)"
JE329264,08/06/2021 09:00:00 PM,066XX S LOOMIS BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,VACANT LOT / LAND,N,N,725,16,14,1168141,1860638,41.773124406,-87.659188846,"(41.773124406, -87.659188846)"
JE330235,08/06/2021 09:00:00 PM,006XX W FULLERTON PKWY,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1935,43,07,1171527,1916198,41.925512138,-87.645144437,"(41.925512138, -87.645144437)"
JE329740,08/06/2021 09:00:00 PM,063XX S LA CROSSE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,813,13,14,1145133,1862227,41.777948848,-87.743491616,"(41.777948848, -87.743491616)"
JE331244,08/06/2021 09:00:00 PM,085XX S GIVINS CT,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,622,21,14,1172730,1848256,41.739046703,-87.642731091,"(41.739046703, -87.642731091)"
JE329622,08/06/2021 09:00:00 PM,012XX S ST LOUIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1021,24,08B,1153240,1893896,41.864696361,-87.712932434,"(41.864696361, -87.712932434)"
JE334601,08/06/2021 09:00:00 PM,054XX N CUMBERLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1614,41,14,1119317,1935156,41.97852489,-87.836589041,"(41.97852489, -87.836589041)"
JE328823,08/06/2021 09:02:00 PM,061XX S CAMPBELL AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,ALLEY,Y,N,825,16,11,1160759,1863812,41.781989908,-87.686162,"(41.781989908, -87.686162)"
JE328863,08/06/2021 09:10:00 PM,069XX S WENTWORTH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,731,6,14,1176160,1858899,41.768176145,-87.629845422,"(41.768176145, -87.629845422)"
JE328816,08/06/2021 09:15:00 PM,015XX W JACKSON BLVD,031A,ROBBERY,ARMED - HANDGUN,STREET,N,N,1231,28,03,1166191,1898714,41.877650687,-87.665251704,"(41.877650687, -87.665251704)"
JE328815,08/06/2021 09:20:00 PM,032XX N NEENAH AVE,0460,BATTERY,SIMPLE,RESIDENCE,N,N,1632,36,08B,1132148,1920827,41.938990742,-87.78973592,"(41.938990742, -87.78973592)"
JE328840,08/06/2021 09:20:00 PM,023XX N LOCKWOOD AVE,0460,BATTERY,SIMPLE,APARTMENT,N,Y,2515,36,08B,1140668,1914968,41.922760518,-87.758566592,"(41.922760518, -87.758566592)"
JE330724,08/06/2021 09:20:00 PM,072XX S FAIRFIELD AVE,0560,ASSAULT,SIMPLE,RESIDENCE,N,N,831,18,08A,1159291,1856598,41.762223838,-87.69174141,"(41.762223838, -87.69174141)"
JE328854,08/06/2021 09:21:00 PM,039XX W DIVERSEY AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,SIDEWALK,N,N,2523,30,15,1149739,1918329,41.931811722,-87.725148861,"(41.931811722, -87.725148861)"
JE328927,08/06/2021 09:26:00 PM,006XX S KEDZIE AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1134,24,26,1155131,1897087,41.873415094,-87.70590492,"(41.873415094, -87.70590492)"
JE328831,08/06/2021 09:27:00 PM,034XX W DIVISION ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,N,N,1422,26,01A,1153234,1907775,41.902781883,-87.71258592,"(41.902781883, -87.71258592)"
JE332083,08/06/2021 09:30:00 PM,065XX W SCHOOL ST,0460,BATTERY,SIMPLE,APARTMENT,N,N,1632,36,08B,1132019,1921224,41.940082399,-87.790200793,"(41.940082399, -87.790200793)"
JE328850,08/06/2021 09:30:00 PM,053XX S DORCHESTER AVE,0460,BATTERY,SIMPLE,STREET,N,N,234,4,08B,1186446,1870307,41.799243582,-87.591782186,"(41.799243582, -87.591782186)"
JE328876,08/06/2021 09:30:00 PM,004XX S LEAVITT ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,N,N,1225,27,03,1161798,1898105,41.876072239,-87.681398627,"(41.876072239, -87.681398627)"
JE329277,08/06/2021 09:30:00 PM,085XX S LAFLIN ST,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,614,21,06,1167824,1848124,41.738791105,-87.660709546,"(41.738791105, -87.660709546)"
JE328825,08/06/2021 09:32:00 PM,0000X E 119TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,532,9,15,1178545,1826070,41.678035274,-87.622097513,"(41.678035274, -87.622097513)"
JE328828,08/06/2021 09:40:00 PM,040XX W POLK ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,N,N,1132,24,15,1149505,1896138,41.870921922,-87.726585549,"(41.870921922, -87.726585549)"
JE329152,08/06/2021 09:42:00 PM,082XX S LAFLIN ST,0820,THEFT,$500 AND UNDER,RESIDENCE - YARD (FRONT / BACK),N,N,614,21,06,1167769,1850113,41.744250384,-87.660854108,"(41.744250384, -87.660854108)"
JE328874,08/06/2021 09:45:00 PM,030XX N BROADWAY,0460,BATTERY,SIMPLE,SIDEWALK,N,N,1934,44,08B,1171719,1920521,41.937370402,-87.644311285,"(41.937370402, -87.644311285)"
JE328822,08/06/2021 09:45:00 PM,008XX W BUCKINGHAM PL,0460,BATTERY,SIMPLE,SIDEWALK,N,N,1924,44,08B,1170050,1922448,41.942694817,-87.65038867,"(41.942694817, -87.65038867)"
JE328967,08/06/2021 09:45:00 PM,053XX W LE MOYNE ST,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,N,N,2532,37,07,1140572,1909460,41.90764772,-87.759054848,"(41.90764772, -87.759054848)"
