CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE325849,08/04/2021 01:00:00 PM,015XX S ST LOUIS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,N,Y,1021,24,14,1153287,1892226,41.86011276,-87.712804207,"(41.86011276, -87.712804207)"
JE325846,08/04/2021 01:06:00 PM,012XX N DEARBORN ST,1330,CRIMINAL TRESPASS,TO LAND,SMALL RETAIL STORE,Y,N,1824,2,26,1175711,1908536,41.904394115,-87.630001432,"(41.904394115, -87.630001432)"
JE326772,08/04/2021 01:09:00 PM,054XX N KENMORE AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,2023,48,05,1168267,1936341,41.980856488,-87.656538676,"(41.980856488, -87.656538676)"
JE325861,08/04/2021 01:10:00 PM,0000X E GARFIELD BLVD,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,Y,N,225,3,26,1177792,1868568,41.794672085,-87.623570871,"(41.794672085, -87.623570871)"
JE325887,08/04/2021 01:30:00 PM,003XX W 107TH ST,0560,ASSAULT,SIMPLE,RESIDENCE - GARAGE,N,Y,512,34,08A,1175892,1833969,41.69977101,-87.631572836,"(41.69977101, -87.631572836)"
JE326040,08/04/2021 01:30:00 PM,082XX S MARQUETTE AVE,0560,ASSAULT,SIMPLE,SIDEWALK,N,N,423,7,08A,1195602,1850848,41.745625144,-87.558848194,"(41.745625144, -87.558848194)"
JE326394,08/04/2021 01:30:00 PM,001XX W RANDOLPH ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,N,N,122,42,04B,1175414,1901275,41.884476226,-87.631310613,"(41.884476226, -87.631310613)"
JE325899,08/04/2021 01:30:00 PM,016XX E 50TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,222,5,11,1188339,1872195,41.804379361,-87.584779905,"(41.804379361, -87.584779905)"
JE326139,08/04/2021 01:37:00 PM,079XX S SOUTH SHORE DR,0560,ASSAULT,SIMPLE,APARTMENT,N,N,422,7,08A,1198533,1852965,41.751361448,-87.548037911,"(41.751361448, -87.548037911)"
JE325911,08/04/2021 01:45:00 PM,004XX S KEDZIE AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SMALL RETAIL STORE,Y,N,1134,28,04A,1155110,1897784,41.875328156,-87.705963317,"(41.875328156, -87.705963317)"
